,Features
6014,"{'danceability': 0.824, 'energy': 0.377, 'key': 2, 'loudness': -9.222, 'mode': 1, 'speechiness': 0.0436, 'acousticness': 0.107, 'instrumentalness': 0.604, 'liveness': 0.11, 'valence': 0.779, 'tempo': 116.342, 'type': 'audio_features', 'id': '6xAa0kGkTLU22ZyoHOCHgi', 'uri': 'spotify:track:6xAa0kGkTLU22ZyoHOCHgi', 'track_href': 'https://api.spotify.com/v1/tracks/6xAa0kGkTLU22ZyoHOCHgi', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6xAa0kGkTLU22ZyoHOCHgi', 'duration_ms': 252760, 'time_signature': 4}"
6015,"{'danceability': 0.431, 'energy': 0.94, 'key': 9, 'loudness': -7.574, 'mode': 1, 'speechiness': 0.0425, 'acousticness': 0.005, 'instrumentalness': 0.862, 'liveness': 0.231, 'valence': 0.752, 'tempo': 151.267, 'type': 'audio_features', 'id': '508DaBmbskpmQoU11CWhQq', 'uri': 'spotify:track:508DaBmbskpmQoU11CWhQq', 'track_href': 'https://api.spotify.com/v1/tracks/508DaBmbskpmQoU11CWhQq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/508DaBmbskpmQoU11CWhQq', 'duration_ms': 238920, 'time_signature': 4}"
6016,"{'danceability': 0.332, 'energy': 0.875, 'key': 2, 'loudness': -4.832, 'mode': 1, 'speechiness': 0.0536, 'acousticness': 4.56e-05, 'instrumentalness': 5.5e-05, 'liveness': 0.153, 'valence': 0.55, 'tempo': 164.369, 'type': 'audio_features', 'id': '6qi4wZ9nexHsIVWFFgE3wW', 'uri': 'spotify:track:6qi4wZ9nexHsIVWFFgE3wW', 'track_href': 'https://api.spotify.com/v1/tracks/6qi4wZ9nexHsIVWFFgE3wW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6qi4wZ9nexHsIVWFFgE3wW', 'duration_ms': 217027, 'time_signature': 4}"
6017,"{'danceability': 0.671, 'energy': 0.672, 'key': 4, 'loudness': -9.188, 'mode': 0, 'speechiness': 0.12, 'acousticness': 0.103, 'instrumentalness': 3.98e-05, 'liveness': 0.074, 'valence': 0.186, 'tempo': 117.96, 'type': 'audio_features', 'id': '5DSr1NMci58MEgS20vivSL', 'uri': 'spotify:track:5DSr1NMci58MEgS20vivSL', 'track_href': 'https://api.spotify.com/v1/tracks/5DSr1NMci58MEgS20vivSL', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5DSr1NMci58MEgS20vivSL', 'duration_ms': 240680, 'time_signature': 4}"
6018,"{'danceability': 0.493, 'energy': 0.896, 'key': 7, 'loudness': -4.569, 'mode': 0, 'speechiness': 0.0365, 'acousticness': 0.000319, 'instrumentalness': 0, 'liveness': 0.0869, 'valence': 0.0791, 'tempo': 117.964, 'type': 'audio_features', 'id': '6hHpXo2XMMKR5lIfa19aLM', 'uri': 'spotify:track:6hHpXo2XMMKR5lIfa19aLM', 'track_href': 'https://api.spotify.com/v1/tracks/6hHpXo2XMMKR5lIfa19aLM', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6hHpXo2XMMKR5lIfa19aLM', 'duration_ms': 262493, 'time_signature': 4}"
6019,"{'danceability': 0.516, 'energy': 0.26, 'key': 2, 'loudness': -10.475, 'mode': 0, 'speechiness': 0.031, 'acousticness': 0.283, 'instrumentalness': 0.834, 'liveness': 0.21, 'valence': 0.338, 'tempo': 130.684, 'type': 'audio_features', 'id': '2r3XoShDJnYhatcpfobVmC', 'uri': 'spotify:track:2r3XoShDJnYhatcpfobVmC', 'track_href': 'https://api.spotify.com/v1/tracks/2r3XoShDJnYhatcpfobVmC', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2r3XoShDJnYhatcpfobVmC', 'duration_ms': 286240, 'time_signature': 4}"
6020,"{'danceability': 0.296, 'energy': 0.789, 'key': 9, 'loudness': -5.813, 'mode': 1, 'speechiness': 0.0524, 'acousticness': 0.000486, 'instrumentalness': 0.115, 'liveness': 0.099, 'valence': 0.233, 'tempo': 162.75, 'type': 'audio_features', 'id': '6GdbwI8ytDROXDv1G7p34o', 'uri': 'spotify:track:6GdbwI8ytDROXDv1G7p34o', 'track_href': 'https://api.spotify.com/v1/tracks/6GdbwI8ytDROXDv1G7p34o', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6GdbwI8ytDROXDv1G7p34o', 'duration_ms': 262747, 'time_signature': 4}"
6021,"{'danceability': 0.371, 'energy': 0.978, 'key': 3, 'loudness': -4.188, 'mode': 1, 'speechiness': 0.0873, 'acousticness': 0.000304, 'instrumentalness': 0, 'liveness': 0.37, 'valence': 0.454, 'tempo': 199.841, 'type': 'audio_features', 'id': '5ozvYiSPEuhUoHDJBDYN9n', 'uri': 'spotify:track:5ozvYiSPEuhUoHDJBDYN9n', 'track_href': 'https://api.spotify.com/v1/tracks/5ozvYiSPEuhUoHDJBDYN9n', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ozvYiSPEuhUoHDJBDYN9n', 'duration_ms': 243973, 'time_signature': 4}"
6022,"{'danceability': 0.559, 'energy': 0.671, 'key': 7, 'loudness': -7.109, 'mode': 1, 'speechiness': 0.1, 'acousticness': 0.21, 'instrumentalness': 0, 'liveness': 0.0869, 'valence': 0.577, 'tempo': 79.493, 'type': 'audio_features', 'id': '28euH5Ny1JXxZAt2KjWp62', 'uri': 'spotify:track:28euH5Ny1JXxZAt2KjWp62', 'track_href': 'https://api.spotify.com/v1/tracks/28euH5Ny1JXxZAt2KjWp62', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/28euH5Ny1JXxZAt2KjWp62', 'duration_ms': 212933, 'time_signature': 4}"
6023,"{'danceability': 0.406, 'energy': 0.939, 'key': 7, 'loudness': -4.048, 'mode': 1, 'speechiness': 0.0866, 'acousticness': 0.0368, 'instrumentalness': 0.0318, 'liveness': 0.644, 'valence': 0.411, 'tempo': 149.112, 'type': 'audio_features', 'id': '1TRGnbyZdpsoHg33eSDocl', 'uri': 'spotify:track:1TRGnbyZdpsoHg33eSDocl', 'track_href': 'https://api.spotify.com/v1/tracks/1TRGnbyZdpsoHg33eSDocl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1TRGnbyZdpsoHg33eSDocl', 'duration_ms': 172733, 'time_signature': 4}"
6024,"{'danceability': 0.883, 'energy': 0.553, 'key': 6, 'loudness': -13.232, 'mode': 0, 'speechiness': 0.944, 'acousticness': 0.0161, 'instrumentalness': 0, 'liveness': 0.228, 'valence': 0.578, 'tempo': 91.753, 'type': 'audio_features', 'id': '3gKwVWwKmeuFtPubICbOGc', 'uri': 'spotify:track:3gKwVWwKmeuFtPubICbOGc', 'track_href': 'https://api.spotify.com/v1/tracks/3gKwVWwKmeuFtPubICbOGc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3gKwVWwKmeuFtPubICbOGc', 'duration_ms': 220840, 'time_signature': 4}"
6025,"{'danceability': 0.508, 'energy': 0.887, 'key': 1, 'loudness': -12.377, 'mode': 0, 'speechiness': 0.0661, 'acousticness': 0.0099, 'instrumentalness': 0.392, 'liveness': 0.345, 'valence': 0.724, 'tempo': 122.655, 'type': 'audio_features', 'id': '19C0LKY3DCcQtuviPJNy5d', 'uri': 'spotify:track:19C0LKY3DCcQtuviPJNy5d', 'track_href': 'https://api.spotify.com/v1/tracks/19C0LKY3DCcQtuviPJNy5d', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/19C0LKY3DCcQtuviPJNy5d', 'duration_ms': 190840, 'time_signature': 4}"
6026,"{'danceability': 0.464, 'energy': 0.703, 'key': 1, 'loudness': -5.264, 'mode': 1, 'speechiness': 0.219, 'acousticness': 0.23, 'instrumentalness': 0, 'liveness': 0.129, 'valence': 0.25, 'tempo': 160.128, 'type': 'audio_features', 'id': '3rDZ6pStaJhzk1mXjDyOfR', 'uri': 'spotify:track:3rDZ6pStaJhzk1mXjDyOfR', 'track_href': 'https://api.spotify.com/v1/tracks/3rDZ6pStaJhzk1mXjDyOfR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3rDZ6pStaJhzk1mXjDyOfR', 'duration_ms': 218688, 'time_signature': 4}"
6027,"{'danceability': 0.417, 'energy': 0.624, 'key': 9, 'loudness': -6.61, 'mode': 1, 'speechiness': 0.037, 'acousticness': 0.0159, 'instrumentalness': 0.000125, 'liveness': 0.175, 'valence': 0.497, 'tempo': 200.136, 'type': 'audio_features', 'id': '6ie5en0vOy4GUercEUUNfJ', 'uri': 'spotify:track:6ie5en0vOy4GUercEUUNfJ', 'track_href': 'https://api.spotify.com/v1/tracks/6ie5en0vOy4GUercEUUNfJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6ie5en0vOy4GUercEUUNfJ', 'duration_ms': 176950, 'time_signature': 4}"
6028,"{'danceability': 0.696, 'energy': 0.564, 'key': 0, 'loudness': -10.803, 'mode': 1, 'speechiness': 0.0371, 'acousticness': 0.277, 'instrumentalness': 0.000353, 'liveness': 0.133, 'valence': 0.932, 'tempo': 146.709, 'type': 'audio_features', 'id': '4rMWDm28mERZcRPc1f3yir', 'uri': 'spotify:track:4rMWDm28mERZcRPc1f3yir', 'track_href': 'https://api.spotify.com/v1/tracks/4rMWDm28mERZcRPc1f3yir', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4rMWDm28mERZcRPc1f3yir', 'duration_ms': 148160, 'time_signature': 4}"
6029,"{'danceability': 0.581, 'energy': 0.56, 'key': 5, 'loudness': -5.802, 'mode': 1, 'speechiness': 0.0317, 'acousticness': 0.0971, 'instrumentalness': 0.694, 'liveness': 0.199, 'valence': 0.391, 'tempo': 121.355, 'type': 'audio_features', 'id': '7EyVbyQS66aaH2LwhN0gpl', 'uri': 'spotify:track:7EyVbyQS66aaH2LwhN0gpl', 'track_href': 'https://api.spotify.com/v1/tracks/7EyVbyQS66aaH2LwhN0gpl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7EyVbyQS66aaH2LwhN0gpl', 'duration_ms': 245067, 'time_signature': 4}"
6030,"{'danceability': 0.555, 'energy': 0.92, 'key': 11, 'loudness': -4.9, 'mode': 0, 'speechiness': 0.0807, 'acousticness': 5.17e-05, 'instrumentalness': 0.0275, 'liveness': 0.445, 'valence': 0.635, 'tempo': 170.176, 'type': 'audio_features', 'id': '01iIEbMiRdwhWADZMgLczS', 'uri': 'spotify:track:01iIEbMiRdwhWADZMgLczS', 'track_href': 'https://api.spotify.com/v1/tracks/01iIEbMiRdwhWADZMgLczS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/01iIEbMiRdwhWADZMgLczS', 'duration_ms': 259227, 'time_signature': 4}"
6031,"{'danceability': 0.579, 'energy': 0.566, 'key': 8, 'loudness': -9.893, 'mode': 1, 'speechiness': 0.0274, 'acousticness': 0.173, 'instrumentalness': 0.477, 'liveness': 0.127, 'valence': 0.372, 'tempo': 97.973, 'type': 'audio_features', 'id': '6vJkCaIJ9B8uKBxmiUzvtq', 'uri': 'spotify:track:6vJkCaIJ9B8uKBxmiUzvtq', 'track_href': 'https://api.spotify.com/v1/tracks/6vJkCaIJ9B8uKBxmiUzvtq', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6vJkCaIJ9B8uKBxmiUzvtq', 'duration_ms': 281200, 'time_signature': 4}"
6032,"{'danceability': 0.362, 'energy': 0.99, 'key': 11, 'loudness': -4.893, 'mode': 0, 'speechiness': 0.289, 'acousticness': 0.0107, 'instrumentalness': 0.214, 'liveness': 0.146, 'valence': 0.142, 'tempo': 151.636, 'type': 'audio_features', 'id': '27BNAWiJgEi0anWjNXMaBJ', 'uri': 'spotify:track:27BNAWiJgEi0anWjNXMaBJ', 'track_href': 'https://api.spotify.com/v1/tracks/27BNAWiJgEi0anWjNXMaBJ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/27BNAWiJgEi0anWjNXMaBJ', 'duration_ms': 153973, 'time_signature': 4}"
6033,"{'danceability': 0.157, 'energy': 0.853, 'key': 0, 'loudness': -9.265, 'mode': 1, 'speechiness': 0.0759, 'acousticness': 0.00135, 'instrumentalness': 0.566, 'liveness': 0.202, 'valence': 0.0993, 'tempo': 177.597, 'type': 'audio_features', 'id': '4T4AEZ3WxwkfrEYXYfGV44', 'uri': 'spotify:track:4T4AEZ3WxwkfrEYXYfGV44', 'track_href': 'https://api.spotify.com/v1/tracks/4T4AEZ3WxwkfrEYXYfGV44', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4T4AEZ3WxwkfrEYXYfGV44', 'duration_ms': 420507, 'time_signature': 4}"
6034,"{'danceability': 0.527, 'energy': 0.134, 'key': 4, 'loudness': -11.264, 'mode': 1, 'speechiness': 0.0348, 'acousticness': 0.932, 'instrumentalness': 0, 'liveness': 0.103, 'valence': 0.479, 'tempo': 98.879, 'type': 'audio_features', 'id': '64yJ0tpcSveze3KJAdZGKe', 'uri': 'spotify:track:64yJ0tpcSveze3KJAdZGKe', 'track_href': 'https://api.spotify.com/v1/tracks/64yJ0tpcSveze3KJAdZGKe', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/64yJ0tpcSveze3KJAdZGKe', 'duration_ms': 224107, 'time_signature': 4}"
6035,"{'danceability': 0.739, 'energy': 0.846, 'key': 8, 'loudness': -5.647, 'mode': 1, 'speechiness': 0.0486, 'acousticness': 0.277, 'instrumentalness': 0.544, 'liveness': 0.14, 'valence': 0.353, 'tempo': 100.007, 'type': 'audio_features', 'id': '2Lho7mxHpPgTmaWLnpK2Vs', 'uri': 'spotify:track:2Lho7mxHpPgTmaWLnpK2Vs', 'track_href': 'https://api.spotify.com/v1/tracks/2Lho7mxHpPgTmaWLnpK2Vs', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Lho7mxHpPgTmaWLnpK2Vs', 'duration_ms': 137093, 'time_signature': 4}"
6036,"{'danceability': 0.305, 'energy': 0.613, 'key': 9, 'loudness': -4.652, 'mode': 0, 'speechiness': 0.047, 'acousticness': 0.00708, 'instrumentalness': 0.00245, 'liveness': 0.121, 'valence': 0.547, 'tempo': 183.992, 'type': 'audio_features', 'id': '3oNNoQOCA81S0SBkn8Hs7l', 'uri': 'spotify:track:3oNNoQOCA81S0SBkn8Hs7l', 'track_href': 'https://api.spotify.com/v1/tracks/3oNNoQOCA81S0SBkn8Hs7l', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3oNNoQOCA81S0SBkn8Hs7l', 'duration_ms': 507160, 'time_signature': 4}"
6037,"{'danceability': 0.805, 'energy': 0.665, 'key': 1, 'loudness': -7.668, 'mode': 1, 'speechiness': 0.387, 'acousticness': 0.483, 'instrumentalness': 0, 'liveness': 0.133, 'valence': 0.881, 'tempo': 80.0, 'type': 'audio_features', 'id': '36jMJZKl8ahgeNBcQH5hXb', 'uri': 'spotify:track:36jMJZKl8ahgeNBcQH5hXb', 'track_href': 'https://api.spotify.com/v1/tracks/36jMJZKl8ahgeNBcQH5hXb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/36jMJZKl8ahgeNBcQH5hXb', 'duration_ms': 136620, 'time_signature': 4}"
6038,"{'danceability': 0.369, 'energy': 0.295, 'key': 4, 'loudness': -12.779, 'mode': 1, 'speechiness': 0.0351, 'acousticness': 0.657, 'instrumentalness': 1.54e-05, 'liveness': 0.107, 'valence': 0.211, 'tempo': 92.226, 'type': 'audio_features', 'id': '1uKzAldJYlwje9HstlwTie', 'uri': 'spotify:track:1uKzAldJYlwje9HstlwTie', 'track_href': 'https://api.spotify.com/v1/tracks/1uKzAldJYlwje9HstlwTie', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1uKzAldJYlwje9HstlwTie', 'duration_ms': 171373, 'time_signature': 4}"
6039,"{'danceability': 0.466, 'energy': 0.446, 'key': 4, 'loudness': -9.415, 'mode': 1, 'speechiness': 0.0322, 'acousticness': 0.229, 'instrumentalness': 0.0168, 'liveness': 0.125, 'valence': 0.403, 'tempo': 80.154, 'type': 'audio_features', 'id': '0VXp4zDspR993l2hIKW17g', 'uri': 'spotify:track:0VXp4zDspR993l2hIKW17g', 'track_href': 'https://api.spotify.com/v1/tracks/0VXp4zDspR993l2hIKW17g', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0VXp4zDspR993l2hIKW17g', 'duration_ms': 275693, 'time_signature': 4}"
6040,"{'danceability': 0.52, 'energy': 0.69, 'key': 5, 'loudness': -5.919, 'mode': 1, 'speechiness': 0.0554, 'acousticness': 0.601, 'instrumentalness': 0.201, 'liveness': 0.137, 'valence': 0.182, 'tempo': 129.839, 'type': 'audio_features', 'id': '70Laus6ozJIHDpfTtUSmAZ', 'uri': 'spotify:track:70Laus6ozJIHDpfTtUSmAZ', 'track_href': 'https://api.spotify.com/v1/tracks/70Laus6ozJIHDpfTtUSmAZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/70Laus6ozJIHDpfTtUSmAZ', 'duration_ms': 212227, 'time_signature': 4}"
6041,"{'danceability': 0.365, 'energy': 0.613, 'key': 5, 'loudness': -4.847, 'mode': 1, 'speechiness': 0.0682, 'acousticness': 0.451, 'instrumentalness': 0, 'liveness': 0.0752, 'valence': 0.439, 'tempo': 139.659, 'type': 'audio_features', 'id': '6dVcavGKwvUjk998frTljW', 'uri': 'spotify:track:6dVcavGKwvUjk998frTljW', 'track_href': 'https://api.spotify.com/v1/tracks/6dVcavGKwvUjk998frTljW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6dVcavGKwvUjk998frTljW', 'duration_ms': 269971, 'time_signature': 3}"
6042,"{'danceability': 0.204, 'energy': 0.0783, 'key': 0, 'loudness': -15.066, 'mode': 1, 'speechiness': 0.0383, 'acousticness': 0.959, 'instrumentalness': 0.339, 'liveness': 0.0702, 'valence': 0.0903, 'tempo': 58.217, 'type': 'audio_features', 'id': '4O94lc0TZiFr9aU24zQ9LT', 'uri': 'spotify:track:4O94lc0TZiFr9aU24zQ9LT', 'track_href': 'https://api.spotify.com/v1/tracks/4O94lc0TZiFr9aU24zQ9LT', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4O94lc0TZiFr9aU24zQ9LT', 'duration_ms': 536907, 'time_signature': 4}"
6043,"{'danceability': 0.567, 'energy': 0.687, 'key': 1, 'loudness': -9.041, 'mode': 0, 'speechiness': 0.125, 'acousticness': 0.36, 'instrumentalness': 0.00293, 'liveness': 0.474, 'valence': 0.396, 'tempo': 128.201, 'type': 'audio_features', 'id': '6kx8Hf1Udk4V0Ivq6zpoyG', 'uri': 'spotify:track:6kx8Hf1Udk4V0Ivq6zpoyG', 'track_href': 'https://api.spotify.com/v1/tracks/6kx8Hf1Udk4V0Ivq6zpoyG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6kx8Hf1Udk4V0Ivq6zpoyG', 'duration_ms': 115518, 'time_signature': 4}"
6044,"{'danceability': 0.531, 'energy': 0.274, 'key': 10, 'loudness': -9.54, 'mode': 0, 'speechiness': 0.148, 'acousticness': 0.808, 'instrumentalness': 0.477, 'liveness': 0.0879, 'valence': 0.513, 'tempo': 60.125, 'type': 'audio_features', 'id': '2MsDscMiyni9Q5hbcJCvE9', 'uri': 'spotify:track:2MsDscMiyni9Q5hbcJCvE9', 'track_href': 'https://api.spotify.com/v1/tracks/2MsDscMiyni9Q5hbcJCvE9', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2MsDscMiyni9Q5hbcJCvE9', 'duration_ms': 292000, 'time_signature': 4}"
6045,"{'danceability': 0.332, 'energy': 0.584, 'key': 0, 'loudness': -11.369, 'mode': 1, 'speechiness': 0.0364, 'acousticness': 0.329, 'instrumentalness': 0.161, 'liveness': 0.181, 'valence': 0.0963, 'tempo': 105.797, 'type': 'audio_features', 'id': '3PkpUPwXOni0QgO3C95iY3', 'uri': 'spotify:track:3PkpUPwXOni0QgO3C95iY3', 'track_href': 'https://api.spotify.com/v1/tracks/3PkpUPwXOni0QgO3C95iY3', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3PkpUPwXOni0QgO3C95iY3', 'duration_ms': 288600, 'time_signature': 4}"
6046,"{'danceability': 0.662, 'energy': 0.344, 'key': 9, 'loudness': -13.93, 'mode': 0, 'speechiness': 0.0487, 'acousticness': 0.369, 'instrumentalness': 0.000109, 'liveness': 0.0589, 'valence': 0.436, 'tempo': 146.016, 'type': 'audio_features', 'id': '07L1pzoVerhRSSaDGZHrKy', 'uri': 'spotify:track:07L1pzoVerhRSSaDGZHrKy', 'track_href': 'https://api.spotify.com/v1/tracks/07L1pzoVerhRSSaDGZHrKy', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/07L1pzoVerhRSSaDGZHrKy', 'duration_ms': 300107, 'time_signature': 4}"
6047,"{'danceability': 0.585, 'energy': 0.567, 'key': 2, 'loudness': -8.35, 'mode': 1, 'speechiness': 0.0263, 'acousticness': 0.247, 'instrumentalness': 0.0023, 'liveness': 0.102, 'valence': 0.564, 'tempo': 106.127, 'type': 'audio_features', 'id': '0r5Ju8WyodpXBHmg3f4zYf', 'uri': 'spotify:track:0r5Ju8WyodpXBHmg3f4zYf', 'track_href': 'https://api.spotify.com/v1/tracks/0r5Ju8WyodpXBHmg3f4zYf', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0r5Ju8WyodpXBHmg3f4zYf', 'duration_ms': 243560, 'time_signature': 4}"
6048,"{'danceability': 0.403, 'energy': 0.728, 'key': 7, 'loudness': -5.086, 'mode': 1, 'speechiness': 0.0531, 'acousticness': 0.0169, 'instrumentalness': 0.00934, 'liveness': 0.0849, 'valence': 0.324, 'tempo': 117.32, 'type': 'audio_features', 'id': '3KMhWFbexTo20tH3hwK61K', 'uri': 'spotify:track:3KMhWFbexTo20tH3hwK61K', 'track_href': 'https://api.spotify.com/v1/tracks/3KMhWFbexTo20tH3hwK61K', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3KMhWFbexTo20tH3hwK61K', 'duration_ms': 262364, 'time_signature': 4}"
6049,"{'danceability': 0.672, 'energy': 0.593, 'key': 11, 'loudness': -4.01, 'mode': 0, 'speechiness': 0.0304, 'acousticness': 0.0223, 'instrumentalness': 0, 'liveness': 0.214, 'valence': 0.438, 'tempo': 98.02, 'type': 'audio_features', 'id': '1BZG99C7Co1r6QUC3zaS59', 'uri': 'spotify:track:1BZG99C7Co1r6QUC3zaS59', 'track_href': 'https://api.spotify.com/v1/tracks/1BZG99C7Co1r6QUC3zaS59', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1BZG99C7Co1r6QUC3zaS59', 'duration_ms': 229080, 'time_signature': 4}"
6050,"{'danceability': 0.309, 'energy': 0.919, 'key': 2, 'loudness': -3.131, 'mode': 1, 'speechiness': 0.0609, 'acousticness': 0.00039, 'instrumentalness': 0.000225, 'liveness': 0.423, 'valence': 0.322, 'tempo': 103.891, 'type': 'audio_features', 'id': '1znGxpojJSjxZZEWA5zWva', 'uri': 'spotify:track:1znGxpojJSjxZZEWA5zWva', 'track_href': 'https://api.spotify.com/v1/tracks/1znGxpojJSjxZZEWA5zWva', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1znGxpojJSjxZZEWA5zWva', 'duration_ms': 261813, 'time_signature': 4}"
6051,"{'danceability': 0.609, 'energy': 0.843, 'key': 6, 'loudness': -3.9, 'mode': 1, 'speechiness': 0.0369, 'acousticness': 0.000126, 'instrumentalness': 0.000239, 'liveness': 0.0535, 'valence': 0.625, 'tempo': 92.928, 'type': 'audio_features', 'id': '3jYNZPZA5qZHSdSAxBdn5q', 'uri': 'spotify:track:3jYNZPZA5qZHSdSAxBdn5q', 'track_href': 'https://api.spotify.com/v1/tracks/3jYNZPZA5qZHSdSAxBdn5q', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3jYNZPZA5qZHSdSAxBdn5q', 'duration_ms': 203773, 'time_signature': 4}"
6052,"{'danceability': 0.319, 'energy': 0.21, 'key': 1, 'loudness': -15.231, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.92, 'instrumentalness': 8.06e-05, 'liveness': 0.138, 'valence': 0.209, 'tempo': 78.696, 'type': 'audio_features', 'id': '4PS1e8f2LvuTFgUs1Cn3ON', 'uri': 'spotify:track:4PS1e8f2LvuTFgUs1Cn3ON', 'track_href': 'https://api.spotify.com/v1/tracks/4PS1e8f2LvuTFgUs1Cn3ON', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4PS1e8f2LvuTFgUs1Cn3ON', 'duration_ms': 192160, 'time_signature': 4}"
6053,"{'danceability': 0.469, 'energy': 0.592, 'key': 5, 'loudness': -4.962, 'mode': 1, 'speechiness': 0.0399, 'acousticness': 0.0393, 'instrumentalness': 0, 'liveness': 0.105, 'valence': 0.0938, 'tempo': 161.996, 'type': 'audio_features', 'id': '7zE6pyXLjUCOy8PG0UL5SZ', 'uri': 'spotify:track:7zE6pyXLjUCOy8PG0UL5SZ', 'track_href': 'https://api.spotify.com/v1/tracks/7zE6pyXLjUCOy8PG0UL5SZ', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/7zE6pyXLjUCOy8PG0UL5SZ', 'duration_ms': 210613, 'time_signature': 4}"
6054,"{'danceability': 0.583, 'energy': 0.363, 'key': 7, 'loudness': -6.16, 'mode': 1, 'speechiness': 0.028, 'acousticness': 0.658, 'instrumentalness': 0, 'liveness': 0.138, 'valence': 0.635, 'tempo': 99.796, 'type': 'audio_features', 'id': '20iMumN7WDTDWgY0c3UvCB', 'uri': 'spotify:track:20iMumN7WDTDWgY0c3UvCB', 'track_href': 'https://api.spotify.com/v1/tracks/20iMumN7WDTDWgY0c3UvCB', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/20iMumN7WDTDWgY0c3UvCB', 'duration_ms': 104400, 'time_signature': 4}"
6055,"{'danceability': 0.542, 'energy': 0.124, 'key': 0, 'loudness': -19.375, 'mode': 1, 'speechiness': 0.0341, 'acousticness': 0.84, 'instrumentalness': 0.0878, 'liveness': 0.101, 'valence': 0.264, 'tempo': 79.258, 'type': 'audio_features', 'id': '2IR01O6kw4IB68hcV9FWYN', 'uri': 'spotify:track:2IR01O6kw4IB68hcV9FWYN', 'track_href': 'https://api.spotify.com/v1/tracks/2IR01O6kw4IB68hcV9FWYN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2IR01O6kw4IB68hcV9FWYN', 'duration_ms': 328560, 'time_signature': 4}"
